post_id,post_text,time,likes,comments,shares,reaction_count,like,love,wow,angry,haha,care,sad
696665339166069,"🔥 Feeling the Heat? Your favourite CN toon stars discover what happens when some things don't change for the better.

Let's team up and make a difference, one SAFE STEP at a time! 🌿💫

Find Out More: www.safestepskids.com

#SafeStepsKids #PrudenceFoundation International Federation of Red Cross and Red Crescent Societies",2023-08-28 11:10:36,192,7,8,257,192,61.0,1.0,1.0,0.0,2.0,0.0
713219414177328,"Cha-Ching's bass player, Justin explains to his friends what an Entrepreneur is - someone who has lots of ideas, a bit like him. 🤑

Learn about Entrepreneurship with Justin: ➡️
https://bit.ly/3PPfjLX

#ChaChing #PrudenceFoundation",2023-08-24 15:45:00,28,0,2,38,28,10.0,0.0,0.0,0.0,0.0,0.0
694130402752896,"It's a world of ooey-gooey wonder in the Slime Factory, leaving you with all the ASMR tingles. ✨

📺 Craig of the Creek - New episodes from Aug 19: Weekends at 10.15AM (PH) | 5PM (SG/MY) | 4PM (TH/ID) on Cartoon Network",2023-08-23 19:00:48,165,5,15,222,165,46.0,3.0,0.0,3.0,5.0,0.0
713219467510656,"Bamboo! A delicious delight… and deceptively dangerous! 🎍🐼 Be careful around sharp objects and remember these Safe Steps if someone around you gets hurt. 💖

Learn more from the Bear Bros: ➡️ https://www.safestepskids.com/first-aid

#SafeStepsKids #PrudenceFoundation",2023-08-23 15:45:00,90,1,6,143,90,44.0,1.0,1.0,0.0,6.0,1.0
693975589435044,"Mark your calendars because we're Celebrating Every Story with #WB100 at Sentosa, Singapore! Brace yourselves as we bring to life your favorite characters like Cartoon Network's Tom and Jerry, DC Comics's Justice League and more.

📆 November 10-26 at locations across Sentosa. This is a free event.

Get the scoop at www.sentosa.com.sg/wb100. See ya there, folks! 👋",2023-08-23 11:00:36,97,1,4,100,97,2.0,0.0,0.0,0.0,1.0,0.0
679095574256379,"The perfect team bonding activity doesn’t exi- 👻

📺 Teen Titans Go! on Heroes Week: Aug 28 – Sep 1, weekdays on Cartoon Network | Stream now on HBO Asia",2023-08-21 19:00:24,164,0,12,288,164,29.0,0.0,1.0,90.0,4.0,0.0
691907859641817,"You're in for a reel treat on #WorldPhotographyDay as we sneak a peek at what these CN toon stars would have in their camera rolls. 📸🤳

📺 Catch your favorite Cartoon Network shows | Available on HBO Asia",2023-08-19 11:00:29,76,3,7,117,76,36.0,1.0,0.0,1.0,3.0,0.0
687446800087923,"Never a dull dinner with these two... 🐱🐥

📺 Looney Tunes Cartoons: Weekdays at 9.45AM (PH) | 10.30AM (SG/MY) | 9.30AM (TH/ID) | Stream on HBO Asia",2023-08-16 19:00:39,489,6,33,632,489,65.0,1.0,0.0,74.0,3.0,0.0
687982936700976,"Elephant trunks not long enough? Lamput to the rescue! Happy World Elephant Day 🐘

📺 Watch more Lamput on Cartoon Network and stream on HBO Asia",2023-08-12 11:20:42,134,0,7,199,134,54.0,0.0,0.0,5.0,6.0,0.0
687396690092934,"Stay golden with these unique Golden Memories by Lotus Archi in celebration of #WB100! ✨

A limited collection featuring celebrated Warner Bros. series and films, perfect as a collector’s item.

🛒 Shop Now: https://lotusarchi.com/product/lotus-archi-golden-memories-special-warner-bros-100th-anniversary/",2023-08-11 09:00:28,64,2,7,92,64,19.0,2.0,0.0,0.0,7.0,0.0
687051013460835,"When in Singapore, you've got to try the king of fruits - best shared with friends or frenemies! Durians: Yay or nay? 😋

📺 Tom and Jerry: Coming soon to Cartoon Network and HBO Asia",2023-08-10 19:01:08,626,50,64,1002,626,133.0,3.0,2.0,224.0,13.0,1.0
686260280206575,"Happy Birthday, Singapore - a sunny little island that will soon be home to all-new shenanigans with Tom and Jerry! 🇸🇬 Have you visited?

📺 Tom and Jerry: Coming soon to Cartoon Network and HBO Asia",2023-08-09 10:00:04,457,30,25,727,457,236.0,4.0,2.0,4.0,19.0,5.0
681821073983829,"Durians - do we love them? Tom and Jerry sure do! 😻

📺 Tom and Jerry: Coming Soon to Cartoon Network and HBO Asia",2023-08-07 19:01:14,4890,380,971,8271,4890,1791.0,79.0,61.0,1198.0,193.0,59.0
685208303645106,"Celebrate the 9 lives of Cats with these 9 cat-tastic toons! 🐱 Who is your pick for a paw-some good time?

📺: Cat-stravaganza from August 7-18: Weekdays at 9.15AM (PH) | 10AM (SG/MY) | 9AM (TH/ID) with same day repeats on Cartoon Network",2023-08-07 11:10:03,304,52,35,605,304,275.0,4.0,0.0,5.0,17.0,0.0
684289533736983,"There's always room for friends - old and new! How many of these adventure buddies did you recognize? ⭐️

📺 We Baby Bears: Weekends at 5.45PM (PH) | 5.30PM (SG/MY) | 4.30PM (TH/ID) on Cartoon Network | Stream on HBO Asia",2023-08-05 19:08:06,275,9,28,537,275,207.0,7.0,11.0,7.0,21.0,9.0
681911200641483,"The claws are out this August with Cat-stravaganza and Heroes Week, plus new episodes of Craig of the Creek. Tune in for a cat-tastic time on Cartoon Network! 🐱",2023-08-01 10:55:03,429,28,54,571,429,121.0,4.0,1.0,3.0,13.0,0.0
681542050678398,"Toontastic Kenergy all around 💯 Which of these Kens are your favorite?

📺 Watch Cartoon Network favorites on HBO Asia",2023-07-31 19:00:11,228,20,63,466,228,172.0,1.0,0.0,58.0,7.0,0.0
681350087364261,"Celebrate the 9 lives of Cats with Cat-stravaganza from August 7-18 🐱

📺 Weekdays at 9.15AM (PH) | 10AM (SG/MY) | 9AM (TH/ID) with same day repeats on Cartoon Network",2023-07-31 11:34:16,125,8,7,198,125,66.0,1.0,0.0,0.0,6.0,0.0
681290900703513,"The iconic chase continues between Tom and Jerry, this time through sunny Singapore! Where will their journey take them? Tune in to find out!

📺 Tom and Jerry: Coming Soon to Cartoon Network and HBO Asia",2023-07-31 09:00:02,3309,281,1000,6216,3309,2069.0,45.0,31.0,33.0,127.0,602.0
680769534088983,"Did someone say FRIENDSHIP QUIZ? 👯‍♀️🧐 Happy International Friendship Day! Which bestie did you get? 💗

#InternationalFriendshipDay #CartoonNetwork",2023-07-30 10:35:03,111,13,11,155,111,37.0,0.0,0.0,1.0,6.0,0.0
